series_id,date,value
CN_10Y_YIELD,2025-02-20,1.685
CN_10Y_YIELD,2025-02-21,1.72
CN_10Y_YIELD,2025-02-24,1.7625
CN_10Y_YIELD,2025-02-25,1.7275
CN_10Y_YIELD,2025-02-26,1.7251
CN_10Y_YIELD,2025-02-27,1.7576
CN_10Y_YIELD,2025-02-28,1.7152
CN_10Y_YIELD,2025-03-03,1.6955
CN_10Y_YIELD,2025-03-04,1.7079
CN_10Y_YIELD,2025-03-05,1.7083
CN_10Y_YIELD,2025-03-06,1.7455
CN_10Y_YIELD,2025-03-07,1.8002
CN_10Y_YIELD,2025-03-10,1.8128
CN_10Y_YIELD,2025-03-11,1.8853
CN_10Y_YIELD,2025-03-12,1.8334
CN_10Y_YIELD,2025-03-13,1.8565
CN_10Y_YIELD,2025-03-14,1.8317
CN_10Y_YIELD,2025-03-17,1.8957
CN_10Y_YIELD,2025-03-18,1.8885
CN_10Y_YIELD,2025-03-19,1.8708
CN_10Y_YIELD,2025-03-20,1.8309
CN_10Y_YIELD,2025-03-21,1.8458
CN_10Y_YIELD,2025-03-24,1.8413
CN_10Y_YIELD,2025-03-25,1.8183
CN_10Y_YIELD,2025-03-26,1.7943
CN_10Y_YIELD,2025-03-27,1.8062
CN_10Y_YIELD,2025-03-28,1.8126
CN_10Y_YIELD,2025-03-31,1.8129
CN_10Y_YIELD,2025-04-01,1.8104
CN_10Y_YIELD,2025-04-02,1.7887
CN_10Y_YIELD,2025-04-03,1.718
CN_10Y_YIELD,2025-04-07,1.6318
CN_10Y_YIELD,2025-04-08,1.6633
CN_10Y_YIELD,2025-04-09,1.6508
CN_10Y_YIELD,2025-04-10,1.6444
CN_10Y_YIELD,2025-04-11,1.6568
CN_10Y_YIELD,2025-04-14,1.6584
CN_10Y_YIELD,2025-04-15,1.6583
CN_10Y_YIELD,2025-04-16,1.643
CN_10Y_YIELD,2025-04-17,1.6522
CN_10Y_YIELD,2025-04-18,1.6493
CN_10Y_YIELD,2025-04-21,1.6664
CN_10Y_YIELD,2025-04-22,1.6509
CN_10Y_YIELD,2025-04-23,1.6611
CN_10Y_YIELD,2025-04-24,1.664
CN_10Y_YIELD,2025-04-25,1.6606
CN_10Y_YIELD,2025-04-27,1.6607
CN_10Y_YIELD,2025-04-28,1.6483
CN_10Y_YIELD,2025-04-29,1.6241
CN_10Y_YIELD,2025-04-30,1.6243
CN_10Y_YIELD,2025-05-06,1.6298
CN_10Y_YIELD,2025-05-07,1.6418
CN_10Y_YIELD,2025-05-08,1.6331
CN_10Y_YIELD,2025-05-09,1.6351
CN_10Y_YIELD,2025-05-12,1.688
CN_10Y_YIELD,2025-05-13,1.6704
CN_10Y_YIELD,2025-05-14,1.6736
CN_10Y_YIELD,2025-05-15,1.6798
CN_10Y_YIELD,2025-05-16,1.6793
CN_10Y_YIELD,2025-05-19,1.6893
CN_10Y_YIELD,2025-05-20,1.7004
CN_10Y_YIELD,2025-05-21,1.71
CN_10Y_YIELD,2025-05-22,1.7186
CN_10Y_YIELD,2025-05-23,1.7208
CN_10Y_YIELD,2025-05-26,1.7201
CN_10Y_YIELD,2025-05-27,1.7261
CN_10Y_YIELD,2025-05-28,1.6832
CN_10Y_YIELD,2025-05-29,1.6877
CN_10Y_YIELD,2025-05-30,1.6712
CN_10Y_YIELD,2025-06-03,1.6764
CN_10Y_YIELD,2025-06-04,1.6704
CN_10Y_YIELD,2025-06-05,1.6741
CN_10Y_YIELD,2025-06-06,1.6547
CN_10Y_YIELD,2025-06-09,1.6559
CN_10Y_YIELD,2025-06-10,1.6569
CN_10Y_YIELD,2025-06-11,1.642
CN_10Y_YIELD,2025-06-12,1.6475
CN_10Y_YIELD,2025-06-13,1.644
CN_10Y_YIELD,2025-06-16,1.6432
CN_10Y_YIELD,2025-06-17,1.6364
CN_10Y_YIELD,2025-06-18,1.6384
CN_10Y_YIELD,2025-06-19,1.6425
CN_10Y_YIELD,2025-06-20,1.6396
CN_10Y_YIELD,2025-06-23,1.6418
CN_10Y_YIELD,2025-06-24,1.648
CN_10Y_YIELD,2025-06-25,1.6544
CN_10Y_YIELD,2025-06-26,1.6462
CN_10Y_YIELD,2025-06-27,1.6462
CN_10Y_YIELD,2025-06-30,1.6469
CN_10Y_YIELD,2025-07-01,1.6433
CN_10Y_YIELD,2025-07-02,1.6396
CN_10Y_YIELD,2025-07-03,1.6407
CN_10Y_YIELD,2025-07-04,1.6433
CN_10Y_YIELD,2025-07-07,1.6406
CN_10Y_YIELD,2025-07-08,1.6444
CN_10Y_YIELD,2025-07-09,1.6446
CN_10Y_YIELD,2025-07-10,1.6616
CN_10Y_YIELD,2025-07-11,1.6653
CN_10Y_YIELD,2025-07-14,1.6726
CN_10Y_YIELD,2025-07-15,1.6557
CN_10Y_YIELD,2025-07-16,1.6617
CN_10Y_YIELD,2025-07-17,1.663
CN_10Y_YIELD,2025-07-18,1.6652
CN_10Y_YIELD,2025-07-21,1.6774
CN_10Y_YIELD,2025-07-22,1.6907
CN_10Y_YIELD,2025-07-23,1.7041
CN_10Y_YIELD,2025-07-24,1.7376
CN_10Y_YIELD,2025-07-25,1.7324
CN_10Y_YIELD,2025-07-28,1.7146
CN_10Y_YIELD,2025-07-29,1.7466
CN_10Y_YIELD,2025-07-30,1.718
CN_10Y_YIELD,2025-07-31,1.7044
CN_10Y_YIELD,2025-08-01,1.7059
CN_10Y_YIELD,2025-08-04,1.7083
CN_10Y_YIELD,2025-08-05,1.7061
CN_10Y_YIELD,2025-08-06,1.6999
CN_10Y_YIELD,2025-08-07,1.6894
CN_10Y_YIELD,2025-08-08,1.6891
CN_10Y_YIELD,2025-08-11,1.7203
CN_10Y_YIELD,2025-08-12,1.7271
CN_10Y_YIELD,2025-08-13,1.7262
CN_10Y_YIELD,2025-08-14,1.7341
CN_10Y_YIELD,2025-08-15,1.7465
CN_10Y_YIELD,2025-08-18,1.7872
CN_10Y_YIELD,2025-08-19,1.7725
CN_10Y_YIELD,2025-08-20,1.782
CN_10Y_YIELD,2025-08-21,1.7667
CN_10Y_YIELD,2025-08-22,1.7818
CN_10Y_YIELD,2025-08-25,1.7643
CN_10Y_YIELD,2025-08-26,1.7598
CN_10Y_YIELD,2025-08-27,1.7988
CN_10Y_YIELD,2025-08-28,1.8478
CN_10Y_YIELD,2025-08-29,1.8379
CN_10Y_YIELD,2025-09-01,1.8257
CN_10Y_YIELD,2025-09-02,1.8167
CN_10Y_YIELD,2025-09-03,1.7984
CN_10Y_YIELD,2025-09-04,1.806
CN_10Y_YIELD,2025-09-05,1.826
CN_10Y_YIELD,2025-09-08,1.8514
CN_10Y_YIELD,2025-09-09,1.8641
CN_10Y_YIELD,2025-09-10,1.8992
CN_10Y_YIELD,2025-09-11,1.8743
CN_10Y_YIELD,2025-09-12,1.867
CN_10Y_YIELD,2025-09-15,1.8724
CN_10Y_YIELD,2025-09-16,1.8527
CN_10Y_YIELD,2025-09-17,1.8349
CN_10Y_YIELD,2025-09-18,1.8546
CN_10Y_YIELD,2025-09-19,1.8789
CN_10Y_YIELD,2025-09-22,1.8647
CN_10Y_YIELD,2025-09-23,1.877
CN_10Y_YIELD,2025-09-24,1.9022
CN_10Y_YIELD,2025-09-25,1.884
CN_10Y_YIELD,2025-09-26,1.8768
CN_10Y_YIELD,2025-09-28,1.8781
CN_10Y_YIELD,2025-09-29,1.887
CN_10Y_YIELD,2025-09-30,1.8605
CN_10Y_YIELD,2025-10-09,1.8466
CN_10Y_YIELD,2025-10-10,1.846
CN_10Y_YIELD,2025-10-11,1.8206
CN_10Y_YIELD,2025-10-13,1.8383
CN_10Y_YIELD,2025-10-14,1.8368
CN_10Y_YIELD,2025-10-15,1.8449
CN_10Y_YIELD,2025-10-16,1.8407
CN_10Y_YIELD,2025-10-17,1.8246
CN_10Y_YIELD,2025-10-20,1.8498
CN_10Y_YIELD,2025-10-21,1.8357
CN_10Y_YIELD,2025-10-22,1.8293
CN_10Y_YIELD,2025-10-23,1.8391
CN_10Y_YIELD,2025-10-24,1.8486
CN_10Y_YIELD,2025-10-27,1.8423
CN_10Y_YIELD,2025-10-28,1.8179
CN_10Y_YIELD,2025-10-29,1.8208
CN_10Y_YIELD,2025-10-30,1.8098
CN_10Y_YIELD,2025-10-31,1.7954
CN_10Y_YIELD,2025-11-03,1.7944
CN_10Y_YIELD,2025-11-04,1.7984
CN_10Y_YIELD,2025-11-05,1.7964
CN_10Y_YIELD,2025-11-06,1.81
CN_10Y_YIELD,2025-11-07,1.8142
CN_10Y_YIELD,2025-11-10,1.8139
CN_10Y_YIELD,2025-11-11,1.8119
CN_10Y_YIELD,2025-11-12,1.8071
CN_10Y_YIELD,2025-11-13,1.8126
CN_10Y_YIELD,2025-11-14,1.814
CN_10Y_YIELD,2025-11-17,1.8109
CN_10Y_YIELD,2025-11-18,1.8121
CN_10Y_YIELD,2025-11-19,1.8179
CN_10Y_YIELD,2025-11-20,1.8135
CN_10Y_YIELD,2025-11-21,1.8166
CN_10Y_YIELD,2025-11-24,1.821
CN_10Y_YIELD,2025-11-25,1.8301
CN_10Y_YIELD,2025-11-26,1.8462
CN_10Y_YIELD,2025-11-27,1.8537
CN_10Y_YIELD,2025-11-28,1.8412
CN_10Y_YIELD,2025-12-01,1.8366
CN_10Y_YIELD,2025-12-02,1.8442
CN_10Y_YIELD,2025-12-03,1.8519
CN_10Y_YIELD,2025-12-04,1.8718
CN_10Y_YIELD,2025-12-05,1.848
CN_10Y_YIELD,2025-12-08,1.8499
CN_10Y_YIELD,2025-12-09,1.8425
CN_10Y_YIELD,2025-12-10,1.8447
CN_10Y_YIELD,2025-12-11,1.8404
CN_10Y_YIELD,2025-12-12,1.8396
CN_10Y_YIELD,2025-12-15,1.8488
CN_10Y_YIELD,2025-12-16,1.8458
CN_10Y_YIELD,2025-12-17,1.834
CN_10Y_YIELD,2025-12-18,1.8356
CN_10Y_YIELD,2025-12-19,1.8308
CN_10Y_YIELD,2025-12-22,1.8415
CN_10Y_YIELD,2025-12-23,1.8352
CN_10Y_YIELD,2025-12-24,1.8356
CN_10Y_YIELD,2025-12-25,1.8386
CN_10Y_YIELD,2025-12-26,1.8376
CN_10Y_YIELD,2025-12-29,1.8584
CN_10Y_YIELD,2025-12-30,1.8582
CN_10Y_YIELD,2025-12-31,1.8473
CN_10Y_YIELD,2026-01-04,1.8427
CN_10Y_YIELD,2026-01-05,1.8584
CN_10Y_YIELD,2026-01-06,1.8829
CN_10Y_YIELD,2026-01-07,1.9019
CN_10Y_YIELD,2026-01-08,1.8905
CN_10Y_YIELD,2026-01-09,1.8782
CN_10Y_YIELD,2026-01-12,1.8585
CN_10Y_YIELD,2026-01-13,1.8519
CN_10Y_YIELD,2026-01-14,1.8494
CN_10Y_YIELD,2026-01-15,1.8544
CN_10Y_YIELD,2026-01-16,1.8424
CN_10Y_YIELD,2026-01-19,1.8393
CN_10Y_YIELD,2026-01-20,1.8326
CN_10Y_YIELD,2026-01-21,1.8312
CN_10Y_YIELD,2026-01-22,1.8425
CN_10Y_YIELD,2026-01-23,1.8298
CN_10Y_YIELD,2026-01-26,1.8242
CN_10Y_YIELD,2026-01-27,1.8311
CN_10Y_YIELD,2026-01-28,1.8164
CN_10Y_YIELD,2026-01-29,1.8174
CN_10Y_YIELD,2026-01-30,1.8112
CN_10Y_YIELD,2026-02-02,1.82
CN_10Y_YIELD,2026-02-03,1.8172
CN_10Y_YIELD,2026-02-04,1.8193
CN_10Y_YIELD,2026-02-05,1.8169
CN_10Y_YIELD,2026-02-06,1.8102
CN_10Y_YIELD,2026-02-09,1.8114
CN_10Y_YIELD,2026-02-10,1.8094
CN_10Y_YIELD,2026-02-11,1.7994
CN_10Y_YIELD,2026-02-12,1.7893
CN_10Y_YIELD,2026-02-13,1.7928
CN_10Y_YIELD,2026-02-14,1.7899
CN_10Y_YIELD,2026-02-24,1.8023
CN_10Y_YIELD,2026-02-25,1.8158
CN_10Y_YIELD,2026-02-26,1.8288
CN_10Y_YIELD,2026-02-27,1.7877
CN_10Y_YIELD,2026-02-28,1.7753
CN_10Y_YIELD,2026-03-02,1.7761
CN_10Y_YIELD,2026-03-03,1.7807
CN_10Y_YIELD,2026-03-04,1.7768
CN_10Y_YIELD,2026-03-05,1.7779
CN_10Y_YIELD,2026-03-06,1.781
CN_10Y_YIELD,2026-03-09,1.8054
CN_10Y_YIELD,2026-03-10,1.8055
CN_10Y_YIELD,2026-03-11,1.8075
CN_10Y_YIELD,2026-03-12,1.8052
CN_10Y_YIELD,2026-03-13,1.8143
CN_10Y_YIELD,2026-03-16,1.8312
CN_10Y_YIELD,2026-03-17,1.8314
CN_10Y_YIELD,2026-03-18,1.8175
CN_10Y_YIELD,2026-03-19,1.8252
CN_10Y_YIELD,2026-03-20,1.8299
CN_10Y_YIELD,2026-03-23,1.8316
CN_10Y_YIELD,2026-03-24,1.8272
CN_10Y_YIELD,2026-03-25,1.8233
CN_10Y_YIELD,2026-03-26,1.8194
CN_10Y_YIELD,2026-03-27,1.8172
CN_10Y_YIELD,2026-03-30,1.8063
CN_10Y_YIELD,2026-03-31,1.8171
CN_10Y_YIELD,2026-04-01,1.8244
CN_10Y_YIELD,2026-04-02,1.8209
CN_10Y_YIELD,2026-04-03,1.8199
CN_10Y_YIELD,2026-04-07,1.8171
CN_10Y_YIELD,2026-04-08,1.8136
CN_10Y_YIELD,2026-04-09,1.8192
CN_10Y_YIELD,2026-04-10,1.8128
CN_10Y_YIELD,2026-04-13,1.7933
CN_10Y_YIELD,2026-04-14,1.7829
CN_10Y_YIELD,2026-04-15,1.7809
CN_10Y_YIELD,2026-04-16,1.7812
CN_10Y_YIELD,2026-04-17,1.7623
CN_10Y_YIELD,2026-04-20,1.7627
CN_10Y_YIELD,2026-04-21,1.751
CN_10Y_YIELD,2026-04-22,1.7389
CN_10Y_YIELD,2026-04-23,1.7548
CN_10Y_YIELD,2026-04-24,1.7601
CN_10Y_YIELD,2026-04-27,1.7697
CN_10Y_YIELD,2026-04-28,1.7654
CN_10Y_YIELD,2026-04-29,1.7444
CN_10Y_YIELD,2026-04-30,1.7473
CN_10Y_YIELD,2026-05-06,1.7654
CN_10Y_YIELD,2026-05-07,1.7631
CN_10Y_YIELD,2026-05-08,1.7648
CN_10Y_YIELD,2026-05-09,1.767
CN_10Y_YIELD,2026-05-11,1.7622
CN_10Y_YIELD,2026-05-12,1.7592
CN_10Y_YIELD,2026-05-13,1.7514
CN_10Y_YIELD,2026-05-14,1.7588
CN_10Y_YIELD,2026-05-15,1.7658
CN_10Y_YIELD,2026-05-18,1.7585
CN_10Y_YIELD,2026-05-19,1.7345
CN_10Y_YIELD,2026-05-20,1.7382
CN_10Y_YIELD,2026-05-21,1.7448
CN_10Y_YIELD,2026-05-22,1.7519
CN_10Y_YIELD,2026-05-25,1.7484
CN_10Y_YIELD,2026-05-26,1.7405
CN_10Y_YIELD,2026-05-27,1.7216
CN_10Y_YIELD,2026-05-28,1.7193
CN_10Y_YIELD,2026-05-29,1.709
CN_10Y_YIELD,2026-06-01,1.7009
CN_10Y_YIELD,2026-06-02,1.7036
CN_10Y_YIELD,2026-06-03,1.7128
CN_10Y_YIELD,2026-06-04,1.7081
CN_10Y_YIELD,2026-06-05,1.7207
CN_10Y_YIELD,2026-06-08,1.7275
CN_10Y_YIELD,2026-06-09,1.7376
CN_10Y_YIELD,2026-06-10,1.7476
CN_10Y_YIELD,2026-06-11,1.7475
CN_10Y_YIELD,2026-06-12,1.7427
CN_10Y_YIELD,2026-06-15,1.7446
CN_10Y_YIELD,2026-06-16,1.7324
CN_10Y_YIELD,2026-06-17,1.727
CN_10Y_YIELD,2026-06-18,1.7299
CN_10Y_YIELD,2026-06-22,1.7375
CN_10Y_YIELD,2026-06-23,1.7437
CN_10Y_YIELD,2026-06-24,1.7454
CN_10Y_YIELD,2026-06-25,1.7351
CN_10Y_YIELD,2026-06-26,1.7314
CN_10Y_YIELD,2026-06-29,1.717
CN_10Y_YIELD,2026-06-30,1.733
CN_10Y_YIELD,2026-07-01,1.7448
CN_10Y_YIELD,2026-07-02,1.741
CN_10Y_YIELD,2026-07-03,1.7463
CN_10Y_YIELD,2026-07-06,1.7379
CN_10Y_YIELD,2026-07-07,1.7406
CN_10Y_YIELD,2026-07-08,1.7385
CN_10Y_YIELD,2026-07-09,1.7376
CN_10Y_YIELD,2026-07-10,1.7398
CN_10Y_YIELD,2026-07-13,1.7442
CN_10Y_YIELD,2026-07-14,1.7402
CN_10Y_YIELD,2026-07-15,1.7406
CN_10Y_YIELD,2026-07-16,1.7437
CN_10Y_YIELD,2026-07-17,1.7404
CN_CPI_YOY,2008-01-01,7.0781
CN_CPI_YOY,2008-02-01,8.7443
CN_CPI_YOY,2008-03-01,8.3097
CN_CPI_YOY,2008-04-01,8.4829
CN_CPI_YOY,2008-05-01,7.7163
CN_CPI_YOY,2008-06-01,7.0844
CN_CPI_YOY,2008-07-01,6.302
CN_CPI_YOY,2008-08-01,4.9001
CN_CPI_YOY,2008-09-01,4.6425
CN_CPI_YOY,2008-10-01,3.9744
CN_CPI_YOY,2008-11-01,2.434
CN_CPI_YOY,2008-12-01,1.1999
CN_CPI_YOY,2009-01-01,0.95
CN_CPI_YOY,2009-02-01,-1.5582
CN_CPI_YOY,2009-03-01,-1.1714
CN_CPI_YOY,2009-04-01,-1.5
CN_CPI_YOY,2009-05-01,-1.3713
CN_CPI_YOY,2009-06-01,-1.7
CN_CPI_YOY,2009-07-01,-1.8057
CN_CPI_YOY,2009-08-01,-1.2043
CN_CPI_YOY,2009-09-01,-0.7883
CN_CPI_YOY,2009-10-01,-0.53
CN_CPI_YOY,2009-11-01,0.56
CN_CPI_YOY,2009-12-01,1.8559
CN_CPI_YOY,2010-01-01,1.53
CN_CPI_YOY,2010-02-01,2.6953
CN_CPI_YOY,2010-03-01,2.3707
CN_CPI_YOY,2010-04-01,2.8136
CN_CPI_YOY,2010-05-01,3.0613
CN_CPI_YOY,2010-06-01,2.9499
CN_CPI_YOY,2010-07-01,3.3042
CN_CPI_YOY,2010-08-01,3.4794
CN_CPI_YOY,2010-09-01,3.6056
CN_CPI_YOY,2010-10-01,4.3655
CN_CPI_YOY,2010-11-01,5.1192
CN_CPI_YOY,2010-12-01,4.5859
CN_CPI_YOY,2011-01-01,4.9121
CN_CPI_YOY,2011-02-01,4.9443
CN_CPI_YOY,2011-03-01,5.383
CN_CPI_YOY,2011-04-01,5.3442
CN_CPI_YOY,2011-05-01,5.5146
CN_CPI_YOY,2011-06-01,6.3553
CN_CPI_YOY,2011-07-01,6.4508
CN_CPI_YOY,2011-08-01,6.1514
CN_CPI_YOY,2011-09-01,6.0671
CN_CPI_YOY,2011-10-01,5.4954
CN_CPI_YOY,2011-11-01,4.2246
CN_CPI_YOY,2011-12-01,4.0704
CN_CPI_YOY,2012-01-01,4.5485
CN_CPI_YOY,2012-02-01,3.1613
CN_CPI_YOY,2012-03-01,3.5856
CN_CPI_YOY,2012-04-01,3.3653
CN_CPI_YOY,2012-05-01,3.0008
CN_CPI_YOY,2012-06-01,2.1504
CN_CPI_YOY,2012-07-01,1.8
CN_CPI_YOY,2012-08-01,2
CN_CPI_YOY,2012-09-01,1.9
CN_CPI_YOY,2012-10-01,1.7
CN_CPI_YOY,2012-11-01,2
CN_CPI_YOY,2012-12-01,2.5
CN_CPI_YOY,2013-01-01,2
CN_CPI_YOY,2013-02-01,3.2
CN_CPI_YOY,2013-03-01,2.1
CN_CPI_YOY,2013-04-01,2.4
CN_CPI_YOY,2013-05-01,2.0981
CN_CPI_YOY,2013-06-01,2.7
CN_CPI_YOY,2013-07-01,2.7
CN_CPI_YOY,2013-08-01,2.6
CN_CPI_YOY,2013-09-01,3.1
CN_CPI_YOY,2013-10-01,3.2
CN_CPI_YOY,2013-11-01,3
CN_CPI_YOY,2013-12-01,2.49871692
CN_CPI_YOY,2014-01-01,2.5
CN_CPI_YOY,2014-02-01,2
CN_CPI_YOY,2014-03-01,2.4
CN_CPI_YOY,2014-04-01,1.80138144
CN_CPI_YOY,2014-05-01,2.5
CN_CPI_YOY,2014-06-01,2.3
CN_CPI_YOY,2014-07-01,2.3
CN_CPI_YOY,2014-08-01,2
CN_CPI_YOY,2014-09-01,1.6
CN_CPI_YOY,2014-10-01,1.60114868
CN_CPI_YOY,2014-11-01,1.4
CN_CPI_YOY,2014-12-01,1.5
CN_CPI_YOY,2015-01-01,0.8
CN_CPI_YOY,2015-02-01,1.4
CN_CPI_YOY,2015-03-01,1.4
CN_CPI_YOY,2015-04-01,1.5
CN_CPI_YOY,2015-05-01,1.2
CN_CPI_YOY,2015-06-01,1.4
CN_CPI_YOY,2015-07-01,1.6
CN_CPI_YOY,2015-08-01,2
CN_CPI_YOY,2015-09-01,1.59560463
CN_CPI_YOY,2015-10-01,1.3
CN_CPI_YOY,2015-11-01,1.5
CN_CPI_YOY,2015-12-01,1.6
CN_CPI_YOY,2016-01-01,1.8
CN_CPI_YOY,2016-02-01,2.3
CN_CPI_YOY,2016-03-01,2.3
CN_CPI_YOY,2016-04-01,2.3
CN_CPI_YOY,2016-05-01,2
CN_CPI_YOY,2016-06-01,1.9
CN_CPI_YOY,2016-07-01,1.8
CN_CPI_YOY,2016-08-01,1.3
CN_CPI_YOY,2016-09-01,1.9
CN_CPI_YOY,2016-10-01,2.1
CN_CPI_YOY,2016-11-01,2.3
CN_CPI_YOY,2016-12-01,2.1
CN_CPI_YOY,2017-01-01,2.5
CN_CPI_YOY,2017-02-01,0.8
CN_CPI_YOY,2017-03-01,0.9
CN_CPI_YOY,2017-04-01,1.2
CN_CPI_YOY,2017-05-01,1.5
CN_CPI_YOY,2017-06-01,1.5
CN_CPI_YOY,2017-07-01,1.4
CN_CPI_YOY,2017-08-01,1.8
CN_CPI_YOY,2017-09-01,1.6
CN_CPI_YOY,2017-10-01,1.9
CN_CPI_YOY,2017-11-01,1.7
CN_CPI_YOY,2017-12-01,1.8
CN_CPI_YOY,2018-01-01,1.5
CN_CPI_YOY,2018-02-01,2.9
CN_CPI_YOY,2018-03-01,2.1
CN_CPI_YOY,2018-04-01,1.8
CN_CPI_YOY,2018-05-01,1.8
CN_CPI_YOY,2018-06-01,1.9
